Player,Team,Points,Cost,Roule
De Gea,Man Utd,172,5.9,GK
Ederson,Man City,159,5.7,GK
Lloris,Spurs,143,5.5,GK
Cech,Arsenal,124,5.3,GK
Courtois,Chelsea,134,5.3,GK
Schmeichel,Leicester,123,5.1,GK
Macey,Arsenal,0,5.0,GK
Pope,Burnley,150,5.0,GK
Butland,Stoke,117,5.0,GK
Pickford,Everton,144,4.9,GK
Karius,Liverpool,82,4.9,GK
Ospina,Arsenal,11,4.8,GK
Caballero,Chelsea,11,4.8,GK
Vorm,Spurs,3,4.8,GK
Heaton,Burnley,8,4.7,GK
Eduardo,Chelsea,0,4.7,GK
Mignolet,Liverpool,67,4.7,GK
Romero,Man Utd,0,4.7,GK
Fabianski,Swansea,148,4.7,GK
Ryan,Brighton,144,4.6,GK
Lossl,Huddersfield,132,4.6,GK
Forster,Southampton,73,4.6,GK
Begovic,Bournemouth,109,4.5,GK
Bravo,Man City,3,4.5,GK
Dubravka,Newcastle,47,4.5,GK
Karnezis,Watford,47,4.5,GK
Hennessey,Crystal Palace,93,4.4,GK
Ward,Liverpool,0,4.4,GK
McCarthy,Southampton,50,4.4,GK
Gomes,Watford,62,4.4,GK
Hamer,Leicester,9,4.3,GK
Darlow,Newcastle,33,4.3,GK
Foster,West Brom,121,4.3,GK
Robles,Everton,0,4.2,GK
Stekelenburg,Everton,0,4.2,GK
Jakupovic,Leicester,4,4.2,GK
Grant,Stoke,5,4.2,GK
Gazzaniga,Spurs,9,4.2,GK
Hart,West Ham,59,4.2,GK
Boruc,Bournemouth,0,4.1,GK
Federici,Bournemouth,0,4.0,GK
Legzdins,Burnley,0,4.0,GK
Lindegaard,Burnley,0,4.0,GK
Henry,Crystal Palace,0,4.0,GK
Speroni,Crystal Palace,36,4.0,GK
Cavalieri,Crystal Palace,0,4.0,GK
Green,Huddersfield,0,4.0,GK
Elliot,Newcastle,57,4.0,GK
Taylor,Southampton,0,4.0,GK
Haugaard,Stoke,0,4.0,GK
Mulder,Swansea,0,4.0,GK
Whiteman,Spurs,0,4.0,GK
