day	player	team	roule	vote	GF	GS
1	De Gea	Man Utd	GK	2,5	0	2
1	Ederson	Man City	GK	6,4	0	1
1	Lloris	Spurs	GK	9,6	0	0
1	Cech	Arsenal	GK	5,2	0	0
1	Courtois	Chelsea	GK	9,3	0	2
1	Schmeichel	Leicester	GK	7,5	0	0
1	Macey	Arsenal	GK	4	0	0
1	Pope	Burnley	GK	9	0	1
1	Butland	Stoke	GK	5	0	2
1	Pickford	Everton	GK	9,5	0	2
1	Karius	Liverpool	GK	2,1	0	3
1	Ospina	Arsenal	GK	6,9	0	1
1	Caballero	Chelsea	GK	5,3	0	3
1	Vorm	Spurs	GK	7,5	0	3
1	Heaton	Burnley	GK	5,6	0	3
1	Eduardo	Chelsea	GK	2,1	0	3
1	Mignolet	Liverpool	GK	5,9	0	2
1	Romero	Man Utd	GK	6,4	0	3
1	Fabianski	Swansea	GK	7,6	0	2
1	Ryan	Brighton	GK	2,5	0	0
1	Lossl	Huddersfield	GK	3,5	0	0
1	Forster	Southampton	GK	8,2	0	0
1	Begovic	Bournemouth	GK	2,8	0	1
1	Bravo	Man City	GK	3,7	0	2
1	Dubravka	Newcastle	GK	9,9	0	0
1	Karnezis	Watford	GK	2,5	0	2
1	Hennessey	Crystal Palace	GK	9,5	0	0
1	Ward	Liverpool	GK	2,9	0	2
1	McCarthy	Southampton	GK	5,4	0	3
1	Gomes	Watford	GK	8	0	2
1	Hamer	Leicester	GK	9,3	0	1
1	Darlow	Newcastle	GK	7,1	0	2
1	Foster	West Brom	GK	8,9	0	1
1	Robles	Everton	GK	9,9	0	1
1	Stekelenburg	Everton	GK	4,7	0	0
1	Jakupovic	Leicester	GK	2,2	0	1
1	Grant	Stoke	GK	10	0	3
1	Gazzaniga	Spurs	GK	4,1	0	0
1	Hart	West Ham	GK	3,6	0	0
1	Boruc	Bournemouth	GK	3,5	0	1
1	Federici	Bournemouth	GK	9,1	0	1
1	Legzdins	Burnley	GK	3,5	0	3
1	Lindegaard	Burnley	GK	2	0	3
1	Henry	Crystal Palace	GK	5,3	0	3
1	Speroni	Crystal Palace	GK	10	0	3
1	Cavalieri	Crystal Palace	GK	2,9	0	1
1	Green	Huddersfield	GK	8,4	0	3
1	Elliot	Newcastle	GK	5,2	0	0
1	Taylor	Southampton	GK	6,2	0	0
1	Haugaard	Stoke	GK	6,2	0	1
1	Mulder	Swansea	GK	6	0	3
1	Whiteman	Spurs	GK	2,6	0	0
1	Bachmann	Watford	GK	9,7	0	1
1	Palmer	West Brom	GK	2,7	0	2
1	Myhill	West Brom	GK	3,3	0	1
1	Trott	West Ham	GK	6	0	1
1	Adrian	West Ham	GK	3,4	0	3
1	Krul	Brighton	GK	7,4	0	2
1	Maenpaa	Brighton	GK	5,8	0	2
1	Coleman	Huddersfield	GK	5,9	0	0
1	Joel Pereira	Man Utd	GK	8,5	0	0
1	Nordfeldt	Swansea	GK	4,3	0	3
1	Alonso	Chelsea	DEF	3	0	0
1	Azpilicueta	Chelsea	DEF	3,7	0	0
1	Valencia	Man Utd	DEF	8,2	1	0
1	Walker	Man City	DEF	6,7	0	0
1	Moses	Chelsea	DEF	9,4	0	0
1	Coleman	Everton	DEF	8,9	0	0
1	Otamendi	Man City	DEF	5	1	0
1	Rose	Spurs	DEF	6,7	0	0
1	Mendy	Man City	DEF	4,6	0	0
1	Cahill	Chelsea	DEF	2	1	0
